# from Ensembl Biomart
Associated_Gene_Name	Gene_Start	Gene_End
CHN1	174799363	175005369
RBM45	178112424	178139011
ADGRL2	81306160	81992436
HOXA11	27181510	27185223
PLEKHF2	95133804	95156684
C6orf222	36315757	36336885
RAD21	116845935	116874866
RRP12	97356358	97426076
P3H3	6828410	6839851
RP11-166N6.3	150882997	150941743
CCDC112	115267188	115296831
FXYD5	35154730	35169883
OR2B3	29086195	29087300
UGT1A4	233718778	233773299
C1QTNF5	119338942	119340883
PGPEP1	18340587	18369950
ACKR3	236567787	236582358
GJC2	228149852	228159826
HNF1B	37686432	37745247
GMPPA	219498867	219506988
CAMSAP2	200739558	200860704
B3GLCT	31199936	31332276
FAM26D	116529013	116558868
DIAPH2	96684663	97604997
UHRF1BP1L	100028455	100142848
CNTNAP2	146116002	148420998
CD163L1	7346685	7479897
SLC27A3	153774354	153780157
POU6F1	51186936	51217693
METTL15	28108248	28333507
ZNF286B	18658429	18682262
SOX9	72121020	72126420
IRGC	43716010	43720021
HNF4A	44355700	44434596
NF1	31094927	31382116
ZNF98	22391019	22532485
IQCA1	236324147	236507542
GYPA	144109303	144140751
IFNA4	21186694	21187671
SLC22A24	63079940	63144221
NBAS	15166909	15561330
RP11-5A19.5	67163385	67165815
SRR	2303383	2325260
IFNA17	21206528	21228222
PFN4	24115371	24123477
AZIN1	102826357	102893864
IFNA14	21239002	21239991
ARPC5L	124862130	124877733
KIR2DL5B	54754710	54780773
IFNA7	21201469	21202205
PPP3CB	73436428	73496024
OR2J3	29111883	29112818
IFNA16	21216373	21217311
C21orf62	32790674	32813728
MRPL24	156737303	156741590
SLC1A7	53087179	53142632
TGFBI	136028895	136063818
C21orf62-AS1	32772100	32798969
ABHD4	22598237	22613215
CXADR	17512382	17593579
HAND1	154474972	154478264
TPRG1L	3625002	3630127
PCBP1	70087454	70089203
MFSD7	681829	689441
NOTUM	81952507	81961840
PALMD	99645943	99694541
TCF20	42160013	42215442
CYP4X1	47023568	47050751
FAM228A	24175069	24200849
ARHGEF11	156934840	157045370
ANKEF1	9986126	10058303
TNFRSF12A	3018445	3022383
EIF2AK2	37099210	37157065
UFM1	38349849	38363619
OR2H1	29457248	29464396
WFDC8	45551153	45579326
FGF4	69771016	69775403
DSP	7541575	7586717
RGS5	163111121	163321791
GLYR1	4803203	4847342
ZNF85	20923222	20950697
SGK2	43558968	43588237
HKDC1	69220303	69267559
COL18A1	45405137	45513720
NDUFAB1	23581002	23596356
MYRFL	69825304	69959097
TRNP1	26993707	27000898
CEP120	123344885	123423592
EIF5	103333544	103345025
CEP63	134485743	134575017
FCGR2B	161581311	161678654
CT45A8	135846499	135854538
OR10AG1	55967558	55968463
TK2	66508003	66552544
CTD-3074O7.11	66509079	66533613
TP53I3	24077433	24085861
CAMKMT	44361950	44772592
OR5F1	55993681	55994625
TBC1D28	18635006	18661950
C4orf17	99511004	99542303
STX1A	73699206	73719672
PPIAL4C	144592865	144593524
EPHA5	65319563	65670495
FUZ	49806869	49817376
PROSC	37762593	37779767
KIR2DS2	54476196	54520909
DEFB132	257736	261096
NHS	17375420	17735994
C5orf45	179835133	179862173
DPCD	101570560	101609668
KIR3DL1	54786328	54866850
BCAS2	114567557	114581639
CA1	85327608	85379014
FLOT1	30717229	30732250
TTLL5	75633625	75955078
ANKRD45	173609561	173669862
OR9G1	56700386	56701303
CMTM4	66614750	66696707
OR9G9	56711466	56712383
TXLNA	32179686	32198285
SP5	170715351	170718078
MAGEA9B	149581653	149587453
ZNF418	57921884	57935393
CDS1	84582979	84651338
MPHOSPH8	19633681	19673459
FNTB	64986720	65062652
RBMY1D	21880076	21894526
ATG4B	241637213	241673857
LCORL	17841199	18021876
SPNS3	4433688	4488208
BAG6	31639028	31652705
UBE2QL1	6448623	6494909
HLA-A	29930538	29935179
HSFX2	149592515	149594716
CACNA2D4	1791957	1918836
SOCS3	78356778	78360077
MARCH10	62701314	62808344
C6orf223	44000580	44005958
C1QL4	49332411	49337188
FTCDNL1	199760544	199851173
IER3	30733058	30734413
HSPA1L	31809619	31815065
EXPH5	108505431	108593738
MAGEH1	55452105	55453566
FOXP4	41546426	41602384
CPT1B	50568861	50578465
MS4A3	60056587	60071128
F2RL1	76818933	76835315
TMEM125	43269994	43274002
MCHR2	99919910	99994247
ST8SIA6	17318383	17454330
C8orf37	95244919	95269201
GUCY2D	8002594	8020339
POC5	75674124	75717481
CCDC113	58231157	58283836
PTGER3	70852353	71047808
HLA-DRB1	32503634	32641885
FHL3	37996770	38005606
RAB15	64945814	64972776
GOLGA8G	28661119	28674479
ID1	31605283	31606515
SAG	233307816	233347055
DNMT3L	44246339	44262216
SPRR2D	153039725	153041931
GABRA1	161847191	161899969
CLEC4F	70808643	70820600
PI4KA	20707691	20859417
SPP2	234050679	234077134
KLHL33	20428811	20435642
TMC1	72521801	72836351
CXorf66	139955725	139965520
VCY	13985772	13986513
TRIM27	28903002	28923989
ANKRA2	73552335	73565686
XCL1	168576473	168582077
ESCO1	21529281	21600884
MBTD1	51177425	51260163
TMEM119	108589846	108598320
TMCO3	113490995	113554590
LIPF	88664441	88678814
GTF2H4	30952827	30958749
RP11-507M3.1	24124366	24190436
RNGTT	88610272	88963721
ATF6B	32098176	32128253
HSD17B8	33182548	33184737
SLC25A42	19063999	19112888
CENPB	3783851	3786690
TRIM37	58982638	59106921
NEDD9	11183298	11382348
COX4I2	31637888	31645006
TIMM10B	6481447	6484679
GADD45A	67685061	67688338
FAM228B	24076526	24169640
HLA-DPA1	33064569	33080775
FBXO40	121593119	121630295
FAM58A	153587919	153600045
CNOT6L	77713387	77819615
PLEKHF1	29665056	29675457
CDH19	66501083	66604138
ZNF81	47836902	48002561
TM9SF2	99501417	99564006
MYOM3	24056035	24112175
NADK2	36192592	36242279
NPHP3-ACAD11	132558142	132722459
TIAL1	119571802	119597029
C7	40909252	40982939
ARHGEF6	136665547	136782088
SV2A	149903318	149917882
OR2J2	29174136	29175407
IL22RA1	24119771	24143121
COX20	244835322	244845057
NGDN	23469688	23509862
RP11-108O10.8	111786286	111879425
DPP3	66480013	66509657
HNRNPA3	177212563	177223958
FAM126B	200973718	201071671
ADAD2	84191138	84197168
RNF180	64165844	64372869
SPERT	45702311	45714559
NPAS2	100820152	100996829
ZNF727	64045443	64078549
CALHM1	103453387	103458888
ANO4	101111599	101128641
TRIM31	30098021	30108223
TMEM45B	129815819	129860003
EQTN	27284659	27297139
CCDC36	49198428	49258104
KIR2DL3	54724459	54767884
ELOF1	11551147	11559236
VSTM1	54040829	54063953
RGS21	192316992	192367285
CALHM3	103472804	103479240
BAZ1A	34752731	34875647
ESR2	64084232	64338112
RP11-101E3.5	128941478	128957021
ZNF256	57940833	57947675
DDX39A	14408819	14419383
KIR2DS2	54738519	54752638
U2AF2	55654146	55674715
KCNK1	233614004	233672512
KIR3DL3	54724450	54736092
HLA-DMA	32987867	32992379
NEURL1	103493979	103592552
BOP1	144262102	144291370
AGPAT2	136673143	136687423
FAM46B	27005020	27012836
EFR3A	131904088	132013642
CDCA3	6844793	6852066
OR14J1	29306690	29307655
MMD	55392613	55421992
C19orf18	57958437	57974534
IRF6	209785623	209806175
SGOL1	20160593	20186292
TJAP1	43477523	43506556
HLA-DOB	32852194	32856479
DNAH10OS	123926424	123934984
CCDC185	223393417	223395470
GCKR	27496842	27523684
CFAP57	43172149	43254358
RP11-214K3.25	123973944	124088594
ALDH3B1	68008578	68029282
SRCIN1	38330785	38406717
EIF4EBP1	38030341	38060365
KIR2DL4	54837484	54858960
DCPS	126303752	126345749
STAM	17644125	17715914
IGF2BP1	48997412	49055650
TBPL1	133952170	133990432
NR2E3	71792638	71818259
CLCA1	86468368	86500289
CEP44	174283677	174333380
PTGER4	40679498	40693735
C15orf41	36579611	36810248
RGL2	33269579	33277249
BAX	48954815	48961798
YARS	32775237	32818153
MFHAS1	8783354	8893645
SPAG9	50962174	51120865
ECE1	21217247	21345504
C1orf185	51102234	51148086
CYB5R1	202961869	202967280
ANTXR2	79901149	80125454
EDDM3A	20731699	20748380
LMF1	853634	981318
VASN	4371848	4383528
ITIH3	52794768	52809009
RNF122	33547755	33567125
DNAAF1	84145287	84178767
PRR35	560422	565528
RP11-166B2.1	11927373	11976643
AC037459.4	22589274	22602084
RAPGEF4	172735274	173052893
EP400	131949920	132081102
PAPLN	73237497	73274640
YPEL3	30092314	30096915
APOD	195568702	195584205
DHX16	30697750	30717697
BRD2	33059372	33122227
ZNF500	4748239	4767624
RIMS1	71886703	72403143
ZNF664	123971845	124015439
CAP1	40040233	40072649
CAV3	8733800	8841808
ADGRL1	14147743	14206187
ANKRD31	75068275	75236878
STK38	36493892	36547470
PFDN5	53295291	53299450
DAPK2	63907036	64072033
FAM170A	119629559	119635822
PREB	27130756	27134675
NELFCD	58981208	58995133
TNFRSF17	11965107	11968068
SLAMF8	159826750	159837249
GALE	23795599	23800804
PFN2	149964904	150050788
PTPN1	50510321	50585241
SPACA5B	48130657	48132613
ZNF729	22286408	22317176
SIGMAR1	34634722	34637809
DDX39B	31517671	31534027
SH3RF2	145936579	146081791
USP50	50500562	50546708
SLC25A53	104099214	104157027
FAT2	151504093	151568944
SH3PXD2A	103594027	103855543
ZCCHC18	104112131	104115846
GLMP	156290089	156295689
STK10	172042073	172188386
ZFYVE16	80408013	80479350
HCRT	42184060	42185452
OR7A5	14792490	14835376
SEC31A	82818661	82901166
UPRT	75274085	75304600
CDAN1	42723559	42737126
ACOT8	45841721	45857406
CPA3	148865256	148897196
PRSS54	58279997	58295047
RNF223	1070966	1074307
ITGA6	172427354	172506282
S100A14	153614255	153616986
LDOC1L	44492572	44498298
PPP1R1C	181954241	182131398
CD24	106969831	106975627
ACSM2B	20536226	20576427
GPI	34359480	34381539
TTC9C	62728069	62740293
CENPF	214603195	214664588
ZNF492	22634324	22667670
GLRX5	95533503	95544724
UGT1A5	233712992	233773299
C19orf12	29698886	29715789
KIR2DL2	54724462	54769224
MTRNR2L6	142706945	142708391
MRPS36	69217760	69230127
PTPN12	77537275	77640071
KIR2DL3	54724465	54784278
RRP7A	42509968	42519802
TNRC18	5306790	5425414
WDSUB1	159235793	159286799
NOV	119416306	119424353
HKR1	37312837	37369365
GU182353.5	54771253	54784657
PICK1	38056311	38075701
FBXL2	33277025	33403662
OR7C1	14799146	14800211
ATF7IP	14365632	14502935
AP5B1	65775893	65780802
DPT	168695459	168729264
ATL3	63624087	63671921
MED14	40648306	40735858
MCCC2	71587288	71658704
ZMYND8	47209214	47356889
KIR3DL2	54850408	54867186
LILRA1	54504396	54532898
GLUL	182381704	182392206
HSD17B4	119452443	119637199
PDCD1	241849881	241858908
HPSE	83292461	83335153
ROM1	62611722	62615120
MAN2B2	6575175	6623362
STX18	4415742	4542346
ZNF440	11814284	11835201
OR11H4	20242739	20243820
PAM16	4331549	4355607
RTF1	41408408	41483563
POLL	101578882	101588270
CFAP45	159872364	159900163
TRIM39	30316275	30336658
POM121L7	21125660	21128063
GPATCH1	33080880	33130542
HLA-DPB1	33075926	33087201
UBE2E3	180967248	181076585
LTBP2	74498170	74612378
ARMC2	108848416	108974472
MRPS27	72219409	72320646
TMC4	54160592	54173661
C5orf49	7830378	7851490
ALDH7A1	126541841	126595418
DAXX	33240162	33250873
RIMS3	40620679	40665657
C2orf49	105337359	105349211
C2orf66	196805002	196810276
KLF2	16324817	16327874
PIP4K2A	22534849	22714555
TXNDC15	134873803	134901525
MMP23B	1632095	1701810
AMER3	130755435	130768134
IGF1R	98648971	98964530
GPR52	174448111	174449198
KIR3DL1	54771229	54833208
RALBP1	9475009	9538116
SLC25A52	31759562	31760880
SP8	20782283	20786886
PRDM7	90056566	90092072
TRMT61A	103529184	103537073
MMP16	88032009	88328025
MICA	31442784	31459233
LNX1	53459301	53701405
CPT1C	49690898	49713731
OR52E6	5840928	5841952
KAZN	14598704	15118043
RNF141	10511678	10541230
LRTM1	54918237	54967088
DMKN	35497220	35513658
RGSL1	182450121	182560599
MUC4	195744993	195789727
C22orf29	19846138	19854896
LRPAP1	3506376	3532559
TRMT112	64316460	64318084
PSRC1	109279556	109283186
NME1	51153536	51162428
STX10	13144058	13150383
ARHGAP11A	32615144	32639949
TCAP	39664187	39666555
PI16	36948263	36964837
BTBD2	1985438	2034881
MSH6	47695530	47810101
CXorf40B	149929527	149938811
ARTN	43933320	43937241
OST4	27070472	27071773
ZCCHC17	31296982	31364953
CXorf23	19912860	19970298
MRPS31	40729135	40771173
RTEL1-TNFRSF6B	63659300	63698698
C2orf88	189879609	190203484
MDH2	76048051	76067508
TBCD	82752064	82945922
KIR2DL2	54476158	54520914
FAM114A2	153990128	154038936
VRK3	49976467	50025946
OR52N1	5787854	5788816
FYN	111660332	111873452
GAGE12H	49579983	49587301
OR56B1	5736517	5737491
PHF1	33410399	33416453
NPL	182789293	182830384
RPP40	4994732	5004063
SNX22	64151715	64157481
PRKCZ	2050470	2185395
HIST1H3G	26269405	26271815
TMEM8A	370773	387113
SCX	144266560	144268481
SMN2	70070287	70099184
USP51	55484616	55489202
C20orf202	1203454	1208274
ANTXRL	46286345	46330207
HOXA7	27153716	27157936
GREB1	11482341	11642788
SIRT2	38878555	38899862
C17orf49	7014495	7017525
ITPK1	92936914	93116320
TMEM74B	1180561	1185415
GNB3	6839954	6847393
TMEM99	40819106	40836274
GFI1B	132945533	132991687
SH2B3	111405948	111451623
NCAPG	17810902	17844862
PLSCR1	146515180	146544864
TUBA3C	19173770	19181852
TBX1	19756703	19783593
ABCC4	95019829	95301446
KRT10	40818117	40822595
RFWD2	175944831	176207493
FCAR	54545136	54562282
MIF	23894004	23895227
PSMF1	1113263	1189415
ABHD11	73736094	73738867
PPIB	64155812	64163205
NCR1	54906150	54916140
PTGER1	14472466	14475362
CPB1	148791102	148860187
DDAH1	85318481	85578363
MIS18BP1	45203190	45253540
OR5AS1	56030419	56031393
NXPE3	101779202	101828229
PHYHD1	128920895	128942041
SPACA5	48004336	48009729
HNRNPU	244851166	244864542
SSR3	156540140	156555184
TMEM181	158536436	158635428
MSANTD4	105995623	106022403
TPPP	659862	693395
KRT14	41582279	41586921
EDDM3B	20768427	20770948
DERA	15911172	16037282
CLIC3	136994635	136996803
C3orf18	50558025	50571027
UBB	16380798	16382745
NOL6	33461441	33473930
MUC2	1086525	1116069
IRF2	184387713	184474580
HMGN1	39342315	39349647
LPL	19901717	19967258
OR52E8	5856674	5857734
RHBDL1	675666	678268
DGKZ	46332905	46380554
MMP1	102789920	102798160
CDH4	61894910	61940574
DSC2	31058840	31102415
TUBB	30798683	30803908
SLITRK4	143622790	143635777
CT55	135156536	135171398
TRIM5	5663557	5938619
WNT16	121325367	121341104
PBK	27809620	27838095
FOXS1	31844301	31845619
MMP10	102770503	102780628
SYT11	155859509	155885199
EBNA1BP2	43164175	43270936
CHD4	6570083	6607476
PROM2	95274453	95291308
CSNK2A1	473591	543821
SLC15A5	16188485	16277685
GNL1	30531215	30547013
MICB	31446626	31550607
RP11-571M6.15	57773028	57787046
C11orf85	64937517	64972085
NARS2	78435961	78574874
CLIC2	155276211	155334657
TCF7L2	112950250	113167678
RP11-1212A22.4	18358086	18379331
FCER2	7688758	7702146
BATF2	64987943	64997045
EPN3	50532543	50543750
TNFSF12	7548891	7557890
PDLIM2	22578279	22598025
NELFE	31934274	31941274
KNTC1	122527246	122626396
OR8I2	56093308	56094240
GATA1	48786554	48794311
C1QTNF3	34019448	34043832
MYL5	673580	682033
TAF1C	84177847	84187070
HIST1H2BI	26272976	26273356
SSH1	108778192	108857590
CYP27B1	57762334	57768986
CDY1B	24045229	24048019
SPANXN2	143711955	143721423
TMEM222	27322145	27336400
HVCN1	110627841	110704950
RABGAP1L	174159410	174995308
ADAMDEC1	24384285	24406013
WRAP73	3630767	3652761
KRT86	52249300	52309163
KHNYN	24429286	24441834
SCRT1	144330565	144336281
CNBD1	86866442	87615219
GRIN2B	13537337	13981957
OR1K1	122800123	122801073
JRKL	96389989	96507574
C5orf56	132410636	132476044
YAF2	42157104	42238349
TMEM126B	85628573	85636539
PTDSS1	96261715	96336995
PHTF1	113696831	113759489
PRDM6	123089121	123194266
FAM161B	73931501	73950414
TACC1	38728186	38853028
PAX2	100735603	100829941
NPIPB3	21402237	21448567
RGPD3	106391290	106468376
GAP43	115623324	115721490
ATP6V0B	43974487	43978295
KCNMB1	170374671	170389677
ITM2B	48233158	48270357
RERG	15107783	15348675
SPIN2A	57134530	57137625
SERF1B	69709074	69726961
PRR5	44668547	44737681
C2orf61	47045538	47155378
HLA-DMB	32973881	32992379
PDCL	122798389	122828631
PARS2	54756898	54764514
NKAPL	28259320	28260958
CHURC1	64914361	64944591
PRDM4	107732866	107761272
BPY2B	24607560	24639207
WFDC10B	45684653	45705019
EPHB1	134597801	135260467
INSL6	5131979	5185668
C16orf71	4734272	4749396
SMG9	43727992	43754990
RP11-257K9.8	73209746	73263196
HLA-DMA	32948613	32969094
KIAA1161	34366670	34376853
ZFP28	56538948	56556810
IFNK	27524314	27526498
CYC1	144095027	144097525
RGS19	64073181	64079988
C6orf136	30691675	30697740
ANKUB1	149761105	149968385
SLC35A2	48903182	48911958
SLC22A1	160121789	160158718
C6orf10	32332098	32411315
KIR3DL1	54724497	54867235
WIPF2	40219304	40284136
KIR3DL2	54836820	54853592
ACTL9	8697397	8698822
TEX10	100302077	100352939
ASAH2B	50739318	50816495
FAM84A	14632686	14650814
MSTN	190055697	190062729
NUTM2B	79703227	79714681
STARD3	39637065	39663484
CHAF1B	36385378	36419015
C12orf4	4487728	4538508
GOLGA4	37243177	37366751
MBP	76978827	77133683
PDE6A	149857955	149944793
MDS2	23581495	23640568
DNAH6	84516455	84819589
TNFRSF11A	62325287	62391292
CCP110	19523811	19553408
SMDT1	42079691	42084284
PFKL	44300051	44327376
MYEOV2	240126563	240136807
UGT1A6	233691607	233773300
RNF17	24764152	24879921
DPYSL5	26847747	26950351
CEP72	612272	667168
MMP3	102835801	102843803
TPX2	31739271	31801805
KPNA7	99173574	99207506
NLGN4X	5840637	6228863
LNPEP	96935394	97037515
NPTXR	38818452	38843982
NR1H4	100473708	100564413
CORO1B	67435510	67443821
AP2A1	49766968	49807113
TRAPPC13	65624716	65666233
SRGAP1	63844293	64162221
BUB3	123154277	123170467
TRIM26	30174734	30203710
C3orf33	155762617	155806351
ZNF75D	135248920	135344087
PRG4	186296279	186314562
MPZ	161304735	161309972
TNFRSF10C	23084355	23117437
NEMF	49782083	49853203
RP11-106M3.2	72284727	72375981
LEPROTL1	30095398	30177208
CTSH	78921058	78949574
MUSK	110668771	110801579
HOXA4	27128507	27130799
ATP9A	51596514	51768634
MAP2K3	21284672	21315240
MCM6	135839626	135876426
UBAP2L	154220179	154271510
HN1L	1678256	1702280
CPSF7	61402641	61430031
KLHL31	53647901	53665708
CNTNAP2	148217288	148419466
SEMA5A	9035026	9546075
RAG1	36510709	36593156
TBC1D23	100261000	100325251
AADACL4	12644547	12667086
BCL10	85266248	85277090
PLCE1	93993989	94332823
AP000350.10	23862188	23895223
MANEA	95577543	95609457
AC025263.3	69801669	69855363
KIR3DL3	54655800	54667814
RAG2	36575574	36598279
SPRYD3	53064316	53079420
KRTAP5-6	1697195	1697755
CWC27	64768930	65018763
CELF6	72284727	72320129
ZNF470	56567511	56588911
LIG4	108207439	108218368
TRANK1	36826820	36945057
ASCL2	2268495	2270952
MSC	71841549	71844468
METTL21B	57771492	57782798
FAM171B	186693971	186765965
RBMY1E	21880076	21918067
SLC3A1	44275458	44321494
SNX21	45833810	45843275
AC006547.14	20148427	20151065
BOD1L1	13568738	13627723
STX5	62806897	62832088
OR5AU1	21154865	21156063
PPIL3	200870907	200889303
RP11-977G19.10	56285916	56316059
TCF19	31152269	31157938
GID4	18039292	18068404
ETHE1	43506719	43527244
PAPD7	6713007	6757048
SGCG	23180952	23325165
GMCL1	69829642	69881396
ATP6V1B1	70935882	70965406
LRRC52	165544007	165563961
CHD7	60678778	60868028
EFEMP1	55865967	55924139
NUPL2	23181827	23201011
SCO1	10672474	10698375
TYW5	199929975	199955736
HLTF	149030127	149086554
SMIM8	87322583	87399749
ICE1	5420664	5490234
MSR1	16107878	16567490
UNC5B	71212570	71302864
ZNF575	43525497	43536130
TTC7A	46916157	47076137
EBF4	2692878	2760108
RANBP17	170861870	171300015
LILRA3	54294163	54306461
CCDC37	126394939	126436556
NOL10	10570766	10689987
PVRL2	44846175	44889228
RBBP7	16839283	16870414
DHX16	30642952	30662900
PDE7B	135851696	136195574
PIGC	172370189	172444086
VPS36	52412602	52450628
C3orf80	160225636	160228213
MICA	31393526	31409981
COLGALT2	183929854	184037729
IFI27	94104836	94116698
GAL3ST4	100159244	100168750
ZNF611	52702813	52735073
IPO11	62403972	62628582
DCP1B	1946054	2004535
HIBCH	190189735	190344193
BDH1	197506664	197557450
FCHSD2	72836745	73142261
ESRP2	68229111	68238102
TRPA1	72019917	72075617
SAFB2	5586999	5624046
E2F7	77021247	77065580
FUOM	133355154	133358035
COMP	18782773	18791314
TMCC3	94567124	94650562
FKBPL	32128707	32130291
HOXA6	27145396	27150603
TFDP1	113584721	113641470
MRPL22	154941070	154969411
C6orf203	107028213	107051342
ATG5	106184476	106325820
ZNF652	49289206	49362473
YWHAE	1247054	1303157
PROZ	113158654	113172383
SVEP1	110365251	110579880
HIST1H2BL	27807444	27807931
LMX1A	165201867	165356715
TARM1	54069895	54081380
HOXA3	27106184	27152581
AADACL3	12716115	12728759
KRT77	52689626	52703463
KIR2DL4	54803535	54814517
BCL2L13	17628855	17730855
PDCD2L	34404384	34426168
STEAP2	90167590	90238137
GABBR1	29555518	29633080
KHDC1	73241314	73310365
MGAT4C	85955666	86838904
MYL3	46857872	46882169
IER5L	129175552	129178262
DDX52	37614320	37648026
SERTAD3	40440844	40444705
TXNDC16	52430590	52552522
GABBR2	98288109	98709197
HSP90AA1	102080738	102139699
GNAI1	80133955	80219402
SCRIB	143777927	143802386
MED13	61942605	62065282
TULP4	158232236	158511828
BLVRA	43758680	43807342
SNX3	108211222	108261260
ZNF71	56595264	56626481
MSMP	35752990	35756613
RP11-849F2.7	8368638	8383187
MYLPF	30370934	30377991
ASZ1	117363222	117428123
PRSS38	227815693	227846470
FPGT-TNNI3K	74198235	74543982
LTA	31562799	31565069
INSL4	5231419	5235304
CLK4	178602664	178630615
TSPAN1	46175073	46185958
ZNF780B	40028260	40056209
SMCHD1	2655738	2805017
STC2	173314713	173329503
KIR2DL1	54669813	54715618
SMUG1	54164745	54188994
VARS	31781844	31786187
C11orf74	36594493	36659290
VTI1B	67647075	67674831
IZUMO3	24542952	24545946
NLRP14	7020446	7071308
TMC5	19410496	19499113
TOX	58805418	59119208
RPL11	23691779	23696425
VARS2	30952885	30971104
KIAA0355	34254537	34355586
TCEANC2	54053587	54112519
CNIH2	66278190	66285301
RGP1	35749287	35758575
EIF2AK3	88556741	88627576
C6orf163	87344849	87365463
AGPAT4	161129979	161274061
BTNL2	32460601	32473766
ADCY9	3953387	4116185
MORC3	36320189	36386148
DNAJB14	99896248	99946726
TSLP	111070062	111078024
SRSF4	29147743	29181987
RPL26	8377520	8383213
SCN4B	118133377	118152888
CATSPER4	26190561	26202968
VAX1	117128521	117138301
FAM134B	16473038	16617058
NONO	71283192	71301168
ST6GALNAC3	76074719	76634601
NDUFS4	53560633	53683340
MERTK	111898479	112029561
XYLB	38346760	38421348
TAP1	32767527	32776296
AMBRA1	46396414	46594125
SERPINH1	75562056	75572783
SPSB3	1776712	1793700
DDX1	15591178	15631111
MPPED1	43411196	43507848
RHOD	67056818	67072013
WFDC1	84294646	84329851
DCP2	112976702	113020970
KCNIP1	170353487	170736632
RNASE13	21032820	21034785
SPRED2	65310851	65432637
CDC14A	100351734	100520277
TPM3	154155304	154194648
FOXD4L5	65282101	65285209
MOB3B	27325209	27529781
SELO	50200979	50217616
STRN4	46719507	46746994
REN	204154819	204166322
ATP6AP2	40580908	40606637
CLPTM1	44954585	44993341
EGFLAM	38258409	38465021
USP7	8892094	8964514
ITLN1	160876539	160885170
FMO3	171090877	171117819
YIF1A	66284580	66289170
LTA	31559460	31561730
KIR2DL1	54769814	54784135
SPHKAP	227979950	228181645
TMCO4	19682213	19799945
NES	156668763	156677397
GRAMD1C	113828182	113947174
CYP2R1	14877440	14892252
GIMAP7	150514830	150521073
SPG7	89490917	89557768
CCR2	46353734	46360928
IL20RB	136946230	137011085
HTRA2	74529377	74533348
SLC2A11	23856703	23886309
KRT40	40977716	40987135
DAPL1	158795317	158862958
CTSZ	58995185	59007247
TXNRD3NB	126571789	126572636
EFR3B	25042130	25159137
KCNH7	162371407	162838730
P2RX1	3896592	3916500
GTSF1L	43726164	43726998
IPO9	201829141	201884294
WDR36	111091716	111130502
C6orf141	49550646	49561907
NRCAM	108147623	108456717
PDGFRL	17576433	17644071
EFNA2	1286154	1300237
TXNRD3	126571779	126655155
KIAA1456	12945642	13031503
CCNE1	29811898	29824308
GNB1L	19783224	19854939
GOLGA8N	32593456	32607310
ARHGEF40	21070270	21090240
FLOT1	30772367	30787391
SLC34A3	137230757	137236554
TPR	186311652	186375693
ZNF780A	40069152	40090938
CCKBR	6259736	6272127
AASDHPPT	106075501	106098710
TTC37	95463895	95555007
STK39	167954020	168248141
FAM102B	108560089	108644900
VARS	31759699	31778134
CCL4L2	36211296	36213250
KIR2DL3	54655780	54699175
E2F1	33675683	33686404
CEND1	787104	790123
ZER1	128729786	128772414
EGFL8	32231591	32235290
FLVCR2	75578617	75663214
HS3ST3A1	13495689	13601927
LRP12	104489231	104589024
IL36RN	113058638	113065382
BMPR2	202376936	202567751
APOM	31643159	31648952
CCDC25	27733311	27772653
C18orf42	5145285	5197503
CSNK2B-LY6G5B-1181	31665880	31673546
FOXN1	28506243	28538896
TSPAN13	16753535	16784536
SLC44A4	31853571	31869426
APOL2	36226203	36239954
CD207	70830214	70835822
NCOA1	24491914	24770702
SEMA3A	83955777	84492724
NSUN4	46340177	46365152
MFSD6	190408355	190509205
PUF60	143803351	143816310
ZFAND5	72351425	72365235
VAPA	9914002	9960021
OR11H6	20223632	20224805
SMIM17	56643145	56655766
RNF39	30060650	30066271
NCOA3	47501902	47656877
SNED1	240998838	241095568
MTFR1L	25818640	25832942
EIF3F	7970251	8001862
SOX1	112067647	112070488
HLA-DPA1	33103656	33119850
CACNA1C	1970786	2697950
TMEM52B	10170542	10191801
PI3	45174876	45176544
EFNB1	68828997	68842147
USF1	161039251	161045977
DYNC1H1	101964528	102050792
C8B	56929210	56966140
RPA4	96883908	96885467
KIAA1755	38210488	38260772
PRR3	30546725	30553562
NUP37	102073103	102120124
STXBP1	127611760	127692936
RIPPLY2	83853266	83857515
ARMC10	103086630	103099764
GUCA2A	42162691	42164718
SLC30A9	41990472	42090457
RBM6	49940007	50100045
MUC4	195745705	195790439
CLSTN1	9729026	9824526
CCDC174	14651746	14672659
DNAH14	224896262	225399292
FN1	215360440	215436172
LILRA5	54314055	54320118
TEKT3	15303811	15341641
ACE	63477061	63498380
TOMM40	44890569	44903689
SRM	11054584	11060024
BCL2L12	49665142	49673916
RP11-11N7.5	244845167	244855497
IBA57	228165815	228182257
LINC01556	28940401	28941061
KRTAP1-5	41026153	41027329
ITGA7	55684568	55716043
LINC01556	28943865	28944525
LIM2	51379909	51387960
ZNF341	33731657	33792269
CT45A9	135863776	135871812
ERCC4	13920157	13952345
DOCK3	50675241	51384198
AP2A2	924894	1012245
MTERF3	96239398	96261610
MUM1	1285893	1378431
CHST10	100391860	100417656
SLC27A3	153791585	153797388
FOXQ1	1312473	1314187
ACVRL1	51906908	51923361
LTK	41503638	41513887
TRIM38	25962802	25991226
TIMM8B	112084800	112086798
PRKAB2	147155106	147172550
CALD1	134744252	134970728
ZNF410	73886617	73932511
